Date,Year,State,Age,Gender,Race,Armed,Threat Level,Flee,Longitude,Latitude
2015-01-02,2015,WA,53.0,Male,Asian,gun,Attack,Not fleeing,-123.122,47.247
2015-01-02,2015,OR,47.0,Male,White,gun,Attack,Not fleeing,-122.892,45.487
2015-01-03,2015,KS,23.0,Male,Hispanic,unarmed,Other,Not fleeing,-97.281,37.695
2015-01-04,2015,CA,32.0,Male,White,toy weapon,Attack,Not fleeing,-122.422,37.763
2015-01-04,2015,CO,39.0,Male,Hispanic,nail gun,Attack,Not fleeing,-104.692,40.384
2015-01-04,2015,OK,18.0,Male,White,gun,Attack,Not fleeing,-97.423,35.877
2015-01-05,2015,AZ,22.0,Male,Hispanic,gun,Attack,Car,-111.841,33.328
2015-01-06,2015,KS,35.0,Male,White,gun,Attack,Not fleeing,-97.564,38.704
2015-01-06,2015,IA,34.0,Female,White,unarmed,Other,Not fleeing,-91.119,40.809
2015-01-06,2015,PA,47.0,Male,Black,toy weapon,Attack,Not fleeing,-79.991,40.413
2015-01-06,2015,CA,25.0,Male,White,knife,Attack,Not fleeing,-121.299,37.93
2015-01-07,2015,TX,31.0,Male,Black,gun,Attack,Not fleeing,-95.369,28.955
2015-01-07,2015,OH,41.0,Male,Black,knife,Other,Not fleeing,-82.885,39.999
2015-01-07,2015,IA,30.0,Male,White,gun,Attack,Car,-93.609,41.582
2015-01-07,2015,LA,37.0,Male,Black,gun,Attack,Foot,-90.012,30.022
2015-01-08,2015,UT,42.0,Male,White,shovel,Attack,Not fleeing,-111.872,40.772
2015-01-08,2015,AR,36.0,Male,Black,unarmed,Attack,Not fleeing,-92.359,33.111
2015-01-08,2015,UT,49.0,Male,White,gun,Attack,Not fleeing,-112.083,41.083
2015-01-09,2015,AR,71.0,Male,White,gun,Attack,Not fleeing,-91.966,34.542
2015-01-09,2015,TX,33.0,Male,Hispanic,gun,Attack,Not fleeing,-106.439,31.858
2015-01-11,2015,IL,39.0,Male,White,gun,Attack,Not fleeing,-88.304,39.692
2015-01-11,2015,CA,23.0,Male,Hispanic,gun,Attack,Not fleeing,-118.183,33.951
2015-01-11,2015,NV,29.0,Male,Hispanic,gun,Attack,Foot,-115.116,36.185
2015-01-13,2015,NM,34.0,Male,White,gun,Attack,Foot,-106.586,35.095
2015-01-13,2015,TX,43.0,Male,White,knife,Other,Not fleeing,-98.542,28.912
2015-01-14,2015,VA,34.0,Male,Black,gun,Attack,Not fleeing,-76.348,36.783
2015-01-14,2015,NJ,75.0,Male,White,knife,Attack,Not fleeing,-74.301,40.405
2015-01-14,2015,TX,68.0,Male,White,gun,Attack,Not fleeing,-95.428,29.031
2015-01-14,2015,UT,34.0,Male,White,knife,Attack,Not fleeing,-111.887,40.54
2015-01-15,2015,IN,27.0,Male,Black,gun,Attack,Foot,-85.991,39.826
2015-01-15,2015,CO,39.0,Male,Black,gun,Attack,Not fleeing,-104.772,39.726
2015-01-15,2015,MN,24.0,Male,White,gun,Attack,Not fleeing,-93.358,44.825
2015-01-15,2015,CA,36.0,Male,Hispanic,knife,Other,Not fleeing,-121.997,38.266
2015-01-15,2015,LA,33.0,Male,White,gun,Attack,Not fleeing,-92.441,30.748
2015-01-16,2015,TX,41.0,Male,White,gun,Attack,Car,-96.069,32.407
2015-01-16,2015,CA,48.0,Male,Other,knife,Other,Not fleeing,-122.06,37.588
2015-01-17,2015,OK,21.0,Male,Black,gun,Attack,Foot,-95.394,35.766
2015-01-17,2015,CA,24.0,Male,Hispanic,gun,Attack,Not fleeing,-118.233,34.038
2015-01-17,2015,TX,27.0,Male,Hispanic,knife,Attack,Not fleeing,-97.334,32.811
2015-01-18,2015,AZ,32.0,Male,White,gun,Attack,Not fleeing,-112.042,33.085
2015-01-18,2015,KY,67.0,Male,White,gun,Attack,Not fleeing,-82.921,37.565
2015-01-19,2015,MA,49.0,Male,White,knife,Attack,Not fleeing,-70.932,42.257
2015-01-21,2015,CA,36.0,Male,White,gun,Attack,Not fleeing,-116.958,33.742
2015-01-21,2015,TX,36.0,Male,Hispanic,gun,Attack,Foot,-99.123,26.559
2015-01-21,2015,MO,19.0,Male,Black,gun,Attack,Not fleeing,-90.25,38.665
2015-01-21,2015,NH,54.0,Male,White,gun,Attack,Not fleeing,-71.337,42.908
2015-01-22,2015,TX,25.0,Male,Black,toy weapon,Attack,Car,-105.028,31.08
2015-01-22,2015,TX,17.0,Female,White,knife,Other,Not fleeing,-94.746,32.495
2015-01-23,2015,TX,56.0,Male,Hispanic,knife,Other,Not fleeing,-102.369,33.578
