id,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,Year
1,2015-01-02,shot,gun,53.0,M,Asian,Shelton,WA,True,attack,Not fleeing,False,2015
2,2015-01-02,shot,gun,47.0,M,White,Aloha,OR,False,attack,Not fleeing,False,2015
3,2015-01-03,shot and Tasered,unarmed,23.0,M,Hispanic,Wichita,KS,False,other,Not fleeing,False,2015
4,2015-01-04,shot,toy weapon,32.0,M,White,San Francisco,CA,True,attack,Not fleeing,False,2015
5,2015-01-04,shot,nail gun,39.0,M,Hispanic,Evans,CO,False,attack,Not fleeing,False,2015
6,2015-01-04,shot,gun,18.0,M,White,Guthrie,OK,False,attack,Not fleeing,False,2015
7,2015-01-05,shot,gun,22.0,M,Hispanic,Chandler,AZ,False,attack,Car,False,2015
8,2015-01-06,shot,gun,35.0,M,White,Assaria,KS,False,attack,Not fleeing,False,2015
9,2015-01-06,shot,unarmed,34.0,F,White,Burlington,IA,False,other,Not fleeing,True,2015
10,2015-01-06,shot,toy weapon,47.0,M,Black,Knoxville,PA,False,attack,Not fleeing,False,2015
11,2015-01-06,shot and Tasered,knife,25.0,M,White,Stockton,CA,False,attack,Not fleeing,False,2015
12,2015-01-07,shot,gun,31.0,M,Black,Freeport,TX,False,attack,Not fleeing,False,2015
13,2015-01-07,shot,knife,41.0,M,Black,Columbus,OH,True,other,Not fleeing,False,2015
14,2015-01-07,shot,gun,30.0,M,White,Des Moines,IA,False,attack,Car,False,2015
15,2015-01-07,shot,gun,37.0,M,Black,New Orleans,LA,False,attack,Foot,True,2015
17,2015-01-08,shot,shovel,42.0,M,White,Salt Lake City,UT,False,attack,Not fleeing,True,2015
18,2015-01-08,shot,unarmed,36.0,M,Black,Strong,AR,False,attack,Not fleeing,False,2015
19,2015-01-08,shot,gun,49.0,M,White,Syracuse,UT,False,attack,Not fleeing,True,2015
20,2015-01-09,shot,gun,71.0,M,White,England,AR,False,attack,Not fleeing,False,2015
21,2015-01-09,shot,gun,33.0,M,Hispanic,El Paso,TX,False,attack,Not fleeing,False,2015
22,2015-01-11,shot,gun,39.0,M,White,Arcola,IL,True,attack,Not fleeing,False,2015
23,2015-01-11,shot,gun,23.0,M,Hispanic,South Gate,CA,False,attack,Not fleeing,False,2015
24,2015-01-11,shot and Tasered,gun,29.0,M,Hispanic,North Las Vegas,NV,False,attack,Foot,False,2015
25,2015-01-13,shot,gun,34.0,M,White,Albuquerque,NM,False,attack,Foot,True,2015
26,2015-01-13,shot,knife,43.0,M,White,Jourdanton,TX,True,other,Not fleeing,False,2015
29,2015-01-14,shot,gun,34.0,M,Black,Chesapeake,VA,True,attack,Not fleeing,False,2015
30,2015-01-14,shot,knife,75.0,M,White,Old Bridge,NJ,False,attack,Not fleeing,False,2015
31,2015-01-14,shot,gun,68.0,M,White,Lake Jackson,TX,False,attack,Not fleeing,False,2015
32,2015-01-14,shot,knife,34.0,M,White,Draper,UT,False,attack,Not fleeing,True,2015
33,2015-01-15,shot,gun,27.0,M,Black,Indianapolis,IN,False,attack,Foot,False,2015
34,2015-01-15,shot,gun,39.0,M,Black,Aurora,CO,False,attack,Not fleeing,False,2015
35,2015-01-15,shot,gun,24.0,M,White,Bloomington,MN,True,attack,Not fleeing,False,2015
36,2015-01-15,shot,knife,36.0,M,Hispanic,Fairfield,CA,True,other,Not fleeing,False,2015
37,2015-01-15,shot,gun,33.0,M,White,Evangeline Parish,LA,False,attack,Not fleeing,False,2015
38,2015-01-16,shot,gun,41.0,M,White,Mabank,TX,False,attack,Car,False,2015
39,2015-01-16,shot and Tasered,knife,48.0,M,Other,Fremont,CA,False,other,Not fleeing,False,2015
40,2015-01-17,shot,gun,21.0,M,Black,Muskogee,OK,False,attack,Foot,True,2015
41,2015-01-17,shot,gun,24.0,M,Hispanic,Los Angeles,CA,False,attack,Not fleeing,False,2015
42,2015-01-17,shot,knife,27.0,M,Hispanic,Fort Worth,TX,False,attack,Not fleeing,False,2015
43,2015-01-18,shot,gun,32.0,M,White,Maricopa,AZ,True,attack,Not fleeing,False,2015
44,2015-01-18,shot and Tasered,gun,67.0,M,White,Gunlock,KY,True,attack,Not fleeing,False,2015
45,2015-01-19,shot,knife,49.0,M,White,Weymouth,MA,False,attack,Not fleeing,False,2015
47,2015-01-21,shot,gun,36.0,M,White,Hemet,CA,False,attack,Not fleeing,False,2015
